"Gene"	"Correlation"	"P.value"
"SEC23A"	0.459461221051725	6.83430549146763e-11
"CENPF"	0.459038990313605	7.1496506774759e-11
"ZBTB11"	0.458341143223383	7.70201745358322e-11
"SMNDC1"	0.45793872255995	8.03912523749184e-11
"KLHL20"	0.457627968259015	8.30918990958132e-11
"TMEM30B"	0.457523082166223	8.40231221818154e-11
"ELK3"	0.45750244964459	8.42074936578792e-11
"USP54"	0.457203360603029	8.69246036219589e-11
"FRMD4B"	0.456980434635703	8.90048927566619e-11
"SGPP2"	0.456809816214918	9.06295869555315e-11
"MORC3"	0.456167430157984	9.70084875550772e-11
"LRRC58"	0.456128900295692	9.74046192369501e-11
"GJB4"	0.456075069993249	9.7960683910639e-11
"HMMR"	0.454949676982508	1.10316116145404e-10
"FGFR1OP2"	0.454368690649468	1.17272834162833e-10
"HIPK3"	0.453817573773421	1.24263708272596e-10
"DARS"	0.453714669991176	1.25613041014475e-10
"RAB21"	0.452797253568359	1.38287241023132e-10
"MYSM1"	0.452709068353005	1.39568843647007e-10
"KBTBD2"	0.451987765710533	1.5049263630961e-10
"BAZ2A"	0.451265431456493	1.62260293748773e-10
"DOCK9"	0.451074110730052	1.65523523396475e-10
"FAM84B"	0.450379822782775	1.77908090324072e-10
"ACAP2"	0.450067171031707	1.83773930662535e-10
"ZBTB43"	0.449803429884407	1.88867435762532e-10
"STAG2"	0.44833333353036	2.19863262192586e-10
"ANTXR2"	0.447022642906699	2.51609798944192e-10
"TTLL5"	0.447020479349209	2.51665703397793e-10
"GORASP2"	0.446999438538177	2.52210007451857e-10
"LNX2"	0.446563613575457	2.63744141529882e-10
"HIPK1"	0.446200699888254	2.73736963068322e-10
"ARHGAP26"	0.445723105048665	2.87447631040371e-10
"SUN1"	0.44548462564876	2.94540447857293e-10
"CELF1"	0.445341691317229	2.98872487973965e-10
"ZNF597"	0.444968972547479	3.10460991199217e-10
"ARIH1"	0.444507638054638	3.25408181251054e-10
"SPATS2L"	0.444340559772448	3.30991481632461e-10
"SH3D19"	0.443943314436561	3.44641271061487e-10
"PRMT3"	0.4438406503142	3.48256595485685e-10
"CENPI"	0.443819876414248	3.4899260294253e-10
"PLEK2"	0.442974151813201	3.8026862272765e-10
"SEMA3C"	0.442944337649024	3.81419285650646e-10
"YME1L1"	0.442409399599211	4.02646883341965e-10
"SMC4"	0.441794126638648	4.28477457096406e-10
"APOOL"	0.441722173038549	4.31600977166065e-10
"GJB3"	0.441671975489356	4.33793100677681e-10
"UBR1"	0.441300667023396	4.50346117565387e-10
"CAP1"	0.441085750878755	4.60204720517543e-10
"TMEM161B"	0.440997953807646	4.64291942532037e-10
"MAP4K5"	0.440978708617333	4.65192547698575e-10
"IQGAP3"	0.440203392885314	5.02914317708204e-10
