"Gene"	"Correlation"	"P.value"
"SIN3B"	0.0905000052787351	0.563839845087638
"CBLC"	0.0904518430240911	0.564048189284065
"LOC100127888"	0.0904104888134778	0.564227111171608
"GJA4"	0.090371984505641	0.564393726405052
"TSPAN32"	0.0903570700072638	0.564458270313387
"FCGR2B"	0.0903449950234877	0.564510528458112
"RNASE11"	0.0903326559429441	0.564563931877263
"GABRE"	0.0902758856913628	0.564809663121135
"C17orf47"	0.0900537649327558	0.565771593312738
"ALS2CR12"	0.0899360729484318	0.566281584488949
"LOC100128071"	0.0899243352534311	0.566332458738633
"SRRM2"	0.0899070815116947	0.56640724481482
"CDH9"	0.0898468227393809	0.566668471310234
"LOC149086"	0.0898312462356961	0.566736005719874
"CRP"	0.0896432282912848	0.56755148039485
"KIAA1033"	0.0895352555850496	0.568020025876462
"NAALAD2"	0.0895185955104126	0.568092337815484
"SH3BP1"	0.0894857544393801	0.568234894703067
"TMOD4"	0.0893176666437132	0.568964789892869
"TRDMT1"	0.0892697004172078	0.569173154850569
"EID1"	0.0891478342227815	0.569702698506273
"HSP90AA1"	0.0890362644075482	0.570187699791135
"IL1RAPL2"	0.0890264587436374	0.570230334712218
"LPCAT4"	0.0890204314047406	0.570256542242935
"NKX2-3"	0.0889520762803209	0.570553796499593
"LOC283089"	0.088951087577318	0.57055809656958
"DRP2"	0.0888719560942825	0.57090230364672
"ZNF318"	0.0888130945424548	0.571158402061685
"GLG1"	0.0887551316786678	0.571410641844704
"CYP3A4"	0.088666945640784	0.571794503111799
"EIF2C2"	0.0886668396490166	0.571794964549889
"INTU"	0.0886158610455617	0.572016921064532
"BROX"	0.0885593534104433	0.572262996575904
"COBL"	0.0884068717050576	0.572927254783445
"LOC100507000"	0.0883411481334684	0.573213675911897
"SRRM1"	0.0881978904206969	0.573838214736769
"LOC221122"	0.0881349868886581	0.574112543723315
"EMX2"	0.0879018733548851	0.575129697685352
"ZNF800"	0.0878811276032182	0.575220258219473
"PNCK"	0.0878810678793355	0.575220518938929
"MORC3"	0.0878505056731661	0.575353942667335
"NXPH4"	0.0878495769060686	0.575357997554807
"FBXO36"	0.0877659241349813	0.575723268992614
"TRAV12-1"	0.0877145453344369	0.575947667776353
"LOC100506476"	0.0875492737374759	0.576669766999173
"SNRNP200"	0.0874951728964762	0.576906231875704
"HGD"	0.0874342761467999	0.577172453055612
"HLCS"	0.0869654388776135	0.579223923705614
"DDX11"	0.0869622481774226	0.57923789639674
"TACC2"	0.0868943497721569	0.579535272711799
"ADA"	0.0867535955525298	0.580151957018627
"GAD2"	0.0867524081397811	0.580157160671388
"ELP4"	0.0866414751100043	0.58064340039989
"FBL"	0.086611144687445	0.58077637616332
"IGHV4-34"	0.0865167473735327	0.581190324197343
"LENG8"	0.0864932940810532	0.581293191423384
"BIRC2"	0.0864424858558641	0.581516066771235
"NCOA7"	0.0863788707975725	0.581795174800452
"POC5"	0.0863484135532677	0.581928825842471
"LOC100128126"	0.0861984744655725	0.582586982769499
"C16orf46"	0.0861538628928179	0.582782869611772
"DSCAM-AS1"	0.0860143765643106	0.583395536842872
"WFDC10B"	0.0859530304935892	0.583665079301696
"LOC283663"	0.0858601271303348	0.584073384561221
"PROSC"	0.0857875620551272	0.584392393172649
"LOC100169752"	0.0856562733571198	0.584969759254075
"LOC100505746"	0.0855381937793297	0.585489253755012
"PDIK1L"	0.0854333484937534	0.585950696428858
"AFF4"	0.0854184167039913	0.58601642709613
"HSPA9"	0.0854019621755963	0.58608886476825
"ATG9B"	0.0853988346350039	0.586102633573854
"LOC100507419"	0.0853678109921903	0.586239221082176
"RPTN"	0.0853009321205302	0.586533716415979
"APBB3"	0.0852847373313961	0.586605038699752
"TRIOBP"	0.0852155215431139	0.586909910489835
"SPINT3"	0.0850364902563316	0.587698809468772
"FUT8"	0.0848205324321221	0.588651052688599
"LOC100507345"	0.0847980333924573	0.588750299275739
"DPY19L3"	0.0845334163824682	0.589918121812418
"EMID1"	0.084516070993681	0.589994707325706
"CRABP1"	0.0844573014588771	0.59025422665135
"RBMX"	0.0841906230835374	0.591432482266007
"MCF2L2"	0.0841512902746211	0.591606353047611
"KCNE1L"	0.0841399486708581	0.591656492835152
"AGAP1"	0.0840910505929162	0.591872686533904
"LOC100506165"	0.0840801710541056	0.591920793127817
"CTSC"	0.0840319108479308	0.592134208501076
"LOC100653021"	0.0838554656283746	0.592914770482006
"GPR78"	0.0834433811491955	0.594739524323635
"LIX1"	0.0833638915791306	0.595091796569488
"TRAV34"	0.0833564639494438	0.595124718123876
"LOC146336"	0.0831627208307118	0.595983730220192
